"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"57",37,"James Conner","RB","ARI",183,21.8,0.34,160,212,39.6,58.9,42.8,57,34,35,19,6,59.9,16,44,173,10,12
"58",40,"Najee Harris","RB","PIT",183,15.7,0.625,161,207,39.3,59.8,37,57,32,43,19,6,66.9,18.1,7,173,10,12
"59",41,"Rhamondre Stevenson","RB","NE",183,16.3,4.23,169,210,38.7,67.5,40,57,26,38,19,6,61.2,19.2,13,173,10,12
"60",81,"Brock Purdy","QB","SF",326,18.7,10.3,295,347,12.7,13.3,0.176,57,86,102,11,4,91.4,7.49,17,316,10,-9999
"61",83,"Dallas Goedert","TE","PHI",131,13.3,9.83,113,147,10.3,12.1,4.49,57,87,90,11,5,106,6.1,12,121,10,-40
"62",96,"Jets","DST","NYJ",102,11,1.26,89.9,114,2.06,0.333,0,62,102,103,1,1,119,2.07,35,92.2,9.8,-9999
"63",49,"DK Metcalf","WR","SEA",199,12.7,1.06,188,218,30.8,43.2,22.6,63,46,64,15,5,39.5,23.8,8,191,8,28
"64",100,"Cowboys","DST","DAL",100,9.14,0.803,89.5,111,0.803,0,-2.8,64,103,108,2,1,113,2.58,16,92.2,7.8,-9999
"65",108,"Ravens","DST","BAL",99.6,8.93,0.614,89.5,113,0,-0.0816,-1.07,65,104,105,3,2,117,2.02,19,92.2,7.39999999999999,-9999
"66",52,"DeVonta Smith","WR","PHI",198,12.2,0.185,180,210,29.8,34.6,15,66,56,73,16,5,42.7,20.7,4,191,7,27
"67",53,"Brandon Aiyuk","WR","SF",198,13.4,0.55,180,214,29.6,34.6,19.1,66,57,67,16,5,39.8,18.5,11,191,7,27
"68",94,"Greg Zuerlein","K","NYJ",146,4.29,1.02,141,152,2.41,8.49,-2.36,66,90,107,5,2,160,1.4,35,139,7,-9999
"69",111,"Browns","DST","CLE",99,12.3,2.07,86.1,118,-0.614,-3.4,3.47,69,111,92,4,3,124,1.83,48,92.2,6.8,-9999
"70",55,"Drake London","WR","ATL",197,15.4,0.223,179,219,29,33.4,24,70,61,61,18,6,35.9,21.9,17,191,6,26
"71",56,"Cooper Kupp","WR","LAR",197,14.6,1.9,176,214,28.8,30.4,19,70,67,68,18,6,34,31.6,30,191,6,26
"72",98,"Jake Elliott","K","PHI",145,8.52,1.39,136,160,1.39,3.12,5.76,70,96,87,6,2,142,1.98,23,139,6,-9999
"73",44,"Zamir White","RB","LVR",178,16.1,0.435,159,202,34.4,57.9,32.4,73,35,49,22,6,64.6,12.8,19,173,5,7
"74",45,"David Montgomery","RB","DET",178,20.1,4.96,154,215,34,53.1,45,73,37,34,22,6,72.8,13.9,26,173,5,7
"75",102,"Jason Myers","K","SEA",144,10.1,0.000222,129,158,0.000222,-3.66,3.09,73,113,96,7,2,156,0.987,45,139,5,-9999
"76",107,"Kaimi Fairbairn","K","HOU",144,10.2,0.385,134,159,0,1.26,4.13,73,98,91,7,2,149,2.22,48,139,5,-9999
"77",109,"Cameron Dicker","K","LAC",144,9.59,0.151,127,155,-0.385,-6.34,0,73,122,103,7,2,156,1.19,29,139,5,-9999
"78",117,"Colts","DST","IND",96.9,16,2.18,77.6,117,-2.69,-11.9,2.54,78,142,97,5,4,160,1.82,97,92.2,4.7,-9999
"79",59,"Stefon Diggs","WR","HOU",195,17.3,0.213,179,219,26.9,34,24.1,79,58,60,20,6,39.3,30.8,45,191,4,24
"80",61,"D.J. Moore","WR","CHI",195,18.3,0.302,168,216,26.7,22.8,20.4,79,75,66,20,6,45.1,17.7,37,191,4,24
"81",62,"Jaylen Waddle","WR","MIA",195,13.2,3.21,179,212,26.4,33.4,17,79,62,71,20,6,40.2,23.3,10,191,4,24
"82",110,"Evan McPherson","K","CIN",143,8.33,3.96,133,154,-0.536,0,-0.487,79,103,104,10,2,142,1.92,16,139,4,-9999
"83",120,"49ers","DST","SF",94.8,4.58,0.219,90.5,103,-4.87,0.962,-11.5,83,100,135,6,4,105,3.07,3,92.2,2.59999999999999,-9999
"84",123,"Texans","DST","HOU",94.5,11.2,0.874,82.2,109,-5.08,-7.32,-5.24,84,125,116,7,5,159,0.665,39,92.2,2.3,-9999
"85",125,"Bills","DST","BUF",93.7,11.4,0.228,81.2,106,-5.96,-8.38,-7.99,85,130,125,8,5,131,1.33,29,92.2,1.5,-9999
"86",127,"Eagles","DST","PHI",93.4,9.31,0.329,82.1,102,-6.19,-7.41,-12.3,86,127,137,9,5,144,1.27,45,92.2,1.2,-9999
"87",118,"Matt Gay","K","IND",140,8.06,0.218,131,150,-4.5,-1.86,-4.83,87,107,112,11,2,161,1.32,19,139,1,-9999
"88",129,"Chiefs","DST","KC",93.1,4.46,0.642,85.6,98.1,-6.52,-3.99,-16.1,88,116,154,10,6,142,1.08,1,92.2,0.899999999999991,-9999
"89",132,"Steelers","DST","PIT",92.5,5.92,0.282,85.8,101,-7.16,-3.73,-12.9,89,115,139,11,6,146,1.69,6,92.2,0.299999999999997,-9999
"90",54,"Raheem Mostert","RB","MIA",173,21.6,2.35,153,210,29,51.7,40.3,90,38,37,24,7,78.2,10.9,46,173,0,2
