"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Bobby Okereke","LB","NYG",83.9,2.83,0.343,82,85.9,-5.39,-5.22,-5.03,178,169,175,18,"3",NA,11.5,51
"Grant Delpit","DB","CLE",84.1,1.63,0.765,83,85.3,-5.49,-1.24,-13,179,140,247,21,"4",NA,6.89,9
"Quincy Williams","LB","NYJ",83.5,0.778,0.335,83,84.1,-5.73,-4.25,-6.88,180,157,190,19,"3",NA,7.97,14
"Michael Pittman","WR","IND",195,15,0.186,170,212,-5.85,-2.25,-27.9,181,145,410,38,"6",115,5.26,35
"Rams","DST","LAR",89.3,7.26,0.843,81.3,99.4,-5.99,-5.01,-7.08,182,166,193,6,"6",162,0.767,26
"Cooper Kupp","WR","SEA",194,28.2,1.5,168,241,-6.04,-4.28,1.29,183,158,117,39,"6",104,7.32,64
"Bobby Wagner","LB","WAS",83.2,4.31,0.227,80,85.9,-6.07,-7.26,-5.03,184,184,174,20,"3",NA,12.2,29
"Carl Granderson","DL","NO",36.8,9.48,0.00836,29.8,42.9,-6.08,-10.2,-3.01,185,210,152,25,"4",NA,NA,90
"Gregory Rousseau","DL","BUF",36.8,6.43,0.229,32.1,40.9,-6.09,-8.01,-4.97,186,189,173,26,"4",NA,9.14,36
"Hunter Henry","TE","NE",141,21.2,2.79,99,160,-6.14,-32.5,-15.8,187,427,278,18,"7",149,2.25,74
"Chamarri Conner","DB","KC",83.3,NA,0.523,NA,NA,-6.26,NA,NA,188,NA,NA,22,"4",NA,NA,99
