"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"253","Jevon Holland","DB","MIA",90.9,19.1,0.39,80.2,113,-14,-10.1,-11.6,244,203,204,35,"2",NA,NA,65
"254","Chase McLaughlin","K","TB",127,8.63,1.39,111,135,-14.2,-17.9,-20.3,246,281,287,24,"3",170,0,58
"255","Dre Greenlaw","LB","SF",108,27.9,0.724,88,140,-14.4,-13.1,-23,248,232,313,28,"2",NA,6.53,27
"256","Tony Adams","DB","NYJ",90.5,NA,0.373,NA,NA,-14.4,NA,NA,247,NA,NA,36,"2",NA,NA,NA
"257","Vikings","DST","MIN",82.1,6.89,0.245,70.2,88.7,-14.5,-14.7,-22.3,249,248,308,25,"13",180,0,29
"258","Zach Sieler","DL","MIA",60,21.6,1.1,47.8,84.8,-14.6,-20.8,-6.01,250,308,171,36,"6",NA,NA,89
"259","Broncos","DST","DEN",81.9,7.39,1.79,70,90.5,-14.7,-14.9,-20.6,251,249,289,26,"14",159,0.7,39
"260","DeShon Elliott","DB","MIA",90.1,21.6,0.101,76.3,106,-14.7,-13.9,-18.4,252,239,272,37,"2",NA,3.72,72
"261","Tyrann Mathieu","DB","NO",90,18.1,0.566,79.4,111,-14.8,-10.8,-13.6,253,211,226,38,"2",NA,NA,59
"262","Devin White","LB","TB",108,36.2,0.999,85.6,149,-15.1,-15.5,-13.9,254,256,231,29,"2",NA,6.53,59
"263","Richie Grant","DB","ATL",89.5,35,0.592,68.8,130,-15.4,-21.5,5.22,255,314,110,39,"2",NA,NA,98
"264","Matt Prater","K","ARI",125,10.6,2.14,111,141,-15.6,-18.3,-13.4,256,290,222,25,"3",170,0,52
"265","Hunter Henry","TE","NE",92.8,14.2,0.0598,74.7,111,-15.7,-22.8,-25.1,257,333,329,20,"7",165,2.13,66
"266","Irv Smith Jr.","TE","CIN",92.8,12.7,0.667,78.1,113,-15.7,-19.3,-23.5,259,298,318,21,"7",159,1.83,63
"267","Shaquil Barrett","DL","TB",58.9,1.7,1.56,57.6,60,-15.7,-10.9,-30.8,258,212,365,37,"6",NA,4.37,9
"268","Michael Thomas","WR","NO",142,15.2,0.253,128,169,-15.8,-7.64,-10.2,260,179,191,41,"7",107,7.35,31
"269","Tua Tagovailoa","QB","MIA",312,17.1,0.559,293,338,-16,-9.15,-6.63,261,193,180,15,"5",94,7.38,29
"270","Jordan Addison","WR","MIN",142,21.4,1.86,116,179,-16,-19.2,-0.428,263,297,132,42,"7",104,10.9,63
